GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
21900113,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,51,94,0.543,9,20,0.45,10,11,0.909,12,35,47,32,5,3,13,21,121,9
21900099,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,91,0.418,8,33,0.242,16,23,0.696,11,30,41,18,9,8,15,17,100,-8
21900088,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,33,83,0.398,6,25,0.24,24,29,0.828,8,39,47,23,11,4,17,18,96,-7
21900076,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,44,93,0.473,13,35,0.371,26,30,0.867,16,36,52,23,4,2,11,19,127,17
21900068,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,36,80,0.45,7,21,0.333,18,27,0.667,9,40,49,15,6,5,19,28,97,-6
21900048,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,85,0.482,7,22,0.318,24,32,0.75,7,43,50,25,5,9,18,19,113,3
21900033,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,50,108,0.463,10,28,0.357,14,17,0.824,21,32,53,29,6,7,9,19,124,2
21900010,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,42,83,0.506,7,21,0.333,29,36,0.806,10,41,51,22,6,5,21,18,120,9
22001078,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,50,98,0.51,7,24,0.292,14,19,0.737,11,35,46,30,5,5,10,8,121,-2
22001065,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,88,0.443,4,26,0.154,21,24,0.875,7,34,41,23,5,2,16,17,103,-37
22000458,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,91,0.418,6,21,0.286,16,19,0.842,9,38,47,22,4,6,9,16,98,-4
22001043,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,101,0.426,8,31,0.258,22,27,0.815,16,30,46,21,7,2,8,19,116,-12
22001029,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,56,94,0.596,17,29,0.586,17,21,0.81,9,37,46,27,6,5,12,16,146,21
22001018,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,37,93,0.398,8,30,0.267,20,23,0.87,7,33,40,17,6,5,7,24,102,-22
22001011,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,89,0.517,4,22,0.182,17,19,0.895,7,37,44,20,8,7,13,12,113,9
22000996,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,37,92,0.402,7,23,0.304,13,20,0.65,9,26,35,22,7,5,7,13,94,-32
22000981,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,42,90,0.467,5,18,0.278,10,10,1.0,8,29,37,25,10,4,13,13,99,-11
22000973,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,43,96,0.448,12,31,0.387,13,17,0.765,10,38,48,20,9,5,13,25,111,-2
22000950,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,49,92,0.533,11,24,0.458,31,38,0.816,8,35,43,29,6,1,11,27,140,-3
22000938,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,88,0.466,10,32,0.313,19,24,0.792,7,33,40,26,6,3,9,20,111,-5
22000919,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,55,103,0.534,6,17,0.353,30,35,0.857,13,31,44,27,6,1,6,21,146,3
22000264,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,37,85,0.435,9,31,0.29,27,32,0.844,9,37,46,22,9,8,17,23,110,2
22000895,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,37,80,0.463,11,24,0.458,21,27,0.778,11,32,43,28,12,7,10,19,106,15
22000888,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,31,77,0.403,10,35,0.286,15,20,0.75,7,31,38,21,1,7,10,15,87,-20
22000473,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,36,84,0.429,8,28,0.286,29,35,0.829,9,48,57,27,4,4,12,23,109,15
22000860,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,45,89,0.506,12,29,0.414,9,12,0.75,5,41,46,23,10,9,12,17,111,26
22000853,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,45,95,0.474,7,23,0.304,9,10,0.9,14,35,49,30,7,9,14,14,106,-1
22000831,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,89,0.427,17,39,0.436,19,27,0.704,12,29,41,26,6,7,13,19,112,-5
22000816,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,48,93,0.516,10,25,0.4,14,18,0.778,12,35,47,30,6,5,9,26,120,23
22000810,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,45,83,0.542,8,21,0.381,21,27,0.778,10,31,41,20,10,7,14,20,119,2
22000797,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,93,0.462,9,27,0.333,24,28,0.857,11,27,38,33,10,2,9,21,119,-2
22000782,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,91,0.418,6,24,0.25,14,21,0.667,11,31,42,23,11,4,14,19,96,-10
22000767,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,35,83,0.422,5,26,0.192,26,32,0.813,8,30,38,22,4,3,10,22,101,-24
22000751,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,48,99,0.485,10,29,0.345,27,32,0.844,18,28,46,22,6,6,17,21,133,-6
22000735,1610612759,Foufous de Sochaux,FFS,Sochaux,290:00:00,49,110,0.445,13,40,0.325,18,24,0.75,11,35,46,25,8,6,6,22,129,-5
22000728,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,92,0.467,10,26,0.385,24,34,0.706,14,40,54,24,9,2,10,17,120,14
22000714,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,47,93,0.505,10,27,0.37,11,14,0.786,12,29,41,24,5,4,11,18,115,-17
22000697,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,85,0.541,10,25,0.4,18,28,0.643,4,37,41,29,9,7,10,15,120,16
22000680,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,33,82,0.402,8,23,0.348,11,13,0.846,2,37,39,16,4,6,7,14,85,-13
22000675,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,85,0.459,7,22,0.318,16,19,0.842,6,34,40,22,6,6,16,24,101,-33
